"Timestamp","Model","Target","RMSE","MAE","MAPE","R2","Accuracy","Cumulative_Return","Sharpe_Ratio","Max_Drawdown","Directional_Accuracy"
"2025-07-20 15:18:43","LinearRegression_Technical","Target_5_Price",7.4061,5.3219,0.0623,0.9706,NA,-0.7596,-0.7633,-0.8822,0.4703
"2025-07-20 15:18:43","LinearRegression_Technical","Target_10_Price",9.0981,6.672,0.0794,0.9558,NA,-0.6671,-0.6188,-0.8413,0.4438
"2025-07-20 15:18:44","LinearRegression_Technical","Target_21_Price",12.6306,9.3849,0.1106,0.9159,NA,-0.2193,-0.1731,-0.7606,0.4108
"2025-07-20 15:18:44","LinearRegression_Economic","Target_5_Price",78.6572,67.9186,0.7608,-2.3141,NA,-0.9998,-2.1994,-0.9998,0.3811
"2025-07-20 15:18:44","LinearRegression_Economic","Target_10_Price",79.4485,68.7817,0.7658,-2.3719,NA,-0.9983,-1.9582,-0.9983,0.337
"2025-07-20 15:18:44","LinearRegression_Economic","Target_21_Price",81.1507,70.5478,0.7725,-2.473,NA,-0.9847,-1.5965,-0.9851,0.3238
"2025-07-20 15:18:44","LinearRegression_All","Target_5_Price",7.7008,5.6158,0.0663,0.9682,NA,-0.9363,-1.2385,-0.9608,0.4581
"2025-07-20 15:18:44","LinearRegression_All","Target_10_Price",10.4883,7.9002,0.0944,0.9412,NA,-0.9439,-1.276,-0.9594,0.4031
"2025-07-20 15:18:45","LinearRegression_All","Target_21_Price",16.8258,12.895,0.1508,0.8507,NA,-0.9494,-1.3049,-0.9574,0.3425
"2025-07-20 15:18:45","LassoRegression_Technical","Target_5_Price",7.4372,5.3507,0.0627,0.9704,NA,-0.7641,-0.7713,-0.8827,0.4703
"2025-07-20 15:18:46","LassoRegression_Technical","Target_10_Price",9.1345,6.7043,0.0798,0.9554,NA,-0.6525,-0.5987,-0.8159,0.4405
"2025-07-20 15:18:46","LassoRegression_Technical","Target_21_Price",12.6743,9.4125,0.1109,0.9153,NA,-0.2282,-0.1798,-0.7606,0.4064
"2025-07-20 15:18:46","LassoRegression_Economic","Target_5_Price",78.6346,67.8741,0.7597,-2.3122,NA,-0.9998,-2.1994,-0.9998,0.3811
"2025-07-20 15:18:46","LassoRegression_Economic","Target_10_Price",79.4258,68.7375,0.7648,-2.37,NA,-0.9983,-1.9582,-0.9983,0.337
"2025-07-20 15:18:46","LassoRegression_Economic","Target_21_Price",81.1277,70.5042,0.7715,-2.471,NA,-0.9847,-1.5965,-0.9851,0.3238
"2025-07-20 15:18:47","LassoRegression_All","Target_5_Price",7.7604,5.6633,0.0668,0.9677,NA,-0.94,-1.2562,-0.9644,0.4526
"2025-07-20 15:18:47","LassoRegression_All","Target_10_Price",10.5258,7.9273,0.0946,0.9408,NA,-0.9545,-1.3349,-0.9617,0.402
"2025-07-20 15:18:47","LassoRegression_All","Target_21_Price",16.8681,12.9285,0.1511,0.8499,NA,-0.9453,-1.2828,-0.9539,0.3436
"2025-07-20 15:18:48","RidgeRegression_Technical","Target_5_Price",12.1256,9.5148,0.1095,0.9212,NA,-0.999,-2.0251,-0.9991,0.4097
"2025-07-20 15:18:48","RidgeRegression_Technical","Target_10_Price",13.7646,10.7479,0.1247,0.8988,NA,-0.9882,-1.6489,-0.9896,0.37
"2025-07-20 15:18:48","RidgeRegression_Technical","Target_21_Price",17.2907,13.2275,0.1533,0.8423,NA,-0.9298,-1.2091,-0.9379,0.3469
"2025-07-20 15:18:48","RidgeRegression_Economic","Target_5_Price",77.8122,66.7668,0.7377,-2.2433,NA,-0.9998,-2.1994,-0.9998,0.3811
